# Cheap accessories deletion log — 2026-05-23T18:54:08.881Z
# Threshold: under ₪150
# Total: 281 products
# Mode: DRY-RUN

price	sku	slug	name	variants	images
₪8	12161111279	כוס-אנטרופולוגי-כלי-בישול-fl-10601	כוס אנטרופולוגי	1	4
₪9	44361112026	בול-מילקי-אורגניק-כלי-בישול-fl-10557	בול מילקי אורגניק	1	3
₪9	64721103335	כוס-זכוכית-דאבל-אספרסו-כלי-בישול-fl-10600	כוס זכוכית דאבל אספרסו	1	4
₪14	44662114202	מרלין-קרמיק-בול-גרין-כלי-בישול-fl-10563	מרלין קרמיק בול גרין	1	2
₪14	44662114197	מרלין-מאג-סלמון-כלי-בישול-fl-10561	מרלין מאג סלמון	1	3
₪14	44662114191	מרלין-מאג-לייט-פינק-כלי-בישול-fl-10562	מרלין מאג לייט פינק	1	2
₪14	44662114195	מרלין-אספרסו-מאג-סלמון-כלי-בישול-fl-10559	מרלין אספרסו מאג סלמון	1	2
₪14	44361112025	בול-מילקי-אורגניק-רחב-כלי-בישול-fl-10558	בול מילקי אורגניק רחב	1	2
₪14	44662114189	מרלין-אספרסו-מאג-לייט-פינק-כלי-בישול-fl-10560	מרלין אספרסו מאג לייט פינק	1	3
₪16	47362115343	מאג-רטרו-מאסטרד-כלי-בישול-fl-10606	מאג רטרו מאסטרד	1	4
₪16	31141113825	מולטי-בולס-ריינבו-פינק-כלי-נוי-fl-10289	מולטי בולס ריינבו פינק	1	2
₪19	36441115100	בול-פטיסירי-מאסטרד-s-כלי-בישול-fl-10593	בול פטיסירי מאסטרד S	1	4
₪19	95247116576	ואזה-סויידיש-פייפ-מילקי-s-אגרטלים-fl-10178	ואזה סווידיש פייפ מילקי S	1	4
₪19	44662114199	מרלין-פלייט-גרין-1-כלי-בישול-fl-10564	מרלין פלייט גרין 21.7x21.2	1	3
₪19	95247115206	ואזה-סויידיש-פייפ-בלאק-s-1-אגרטלים-fl-10185	ואזה סויידיש פייפ בלאק S	1	2
₪24	56441112768	ואזה-דקו-פייס-בלאק-s-אגרטלים-fl-10181	ואזה דקו פייס בלאק S	1	3
₪24	17362114506	מלח-פלפל-קפיטרי-עגול-סיה-סילבר-כלי-בישול-fl-10597	מלח פלפל קפיטרי עגול סיה סילבר	1	3
₪24	95247116575	ואזה-סויידיש-פייפ-מילקי-l-אגרטלים-fl-10184	ואזה סווידיש פייפ מילקי L	1	1
₪24	44662114200	מרלין-פלייט-גרין-2-כלי-בישול-fl-10565	מרלין פלייט גרין 27x26.1	1	3
₪24	72541116456	דקו-האוס-צוקלאט-כלי-נוי-fl-10281	דקו האוס צ'וקלאט	1	3
₪24	44662114212	מרלין-פלייט-סנד-כלי-בישול-fl-10566	מרלין פלייט סנד 27x26.1	1	3
₪24	95247115204	ואזה-סויידיש-פייפ-בלאק-l-אגרטלים-fl-10186	ואזה סויידיש פייפ בלאק L	1	2
₪29	39641112844	ספר-surf-s-כלי-נוי-fl-10299	ספר SURF S	1	2
₪29	72541116655	דקו-האוס-טופי-3-כלי-נוי-fl-10284	דקו האוס טופי	1	4
₪29	39641112848	ספר-פרדייז-s-כלי-נוי-fl-10301	ספר פרדייז S	1	4
₪29	39641112846	ספר-הוואי-s-כלי-נוי-fl-10308	ספר הוואי S	1	2
₪29	39641112842	ספר-אסטרונאוט-s-כלי-נוי-fl-10297	ספר אסטרונאוט S	1	4
₪30	15447113989	מולטי-ואזה-דקו-גולד-אגרטלים-fl-10180	מולטי ואזה דקו גולד	1	3
₪30	15447113988	מולטי-ואזה-דקו-בלאק-אגרטלים-fl-10179	מולטי ואזה דקו בלאק	1	3
₪34	45241112731	מעמד-ספרים-פיס-אולד-טיים-כלי-נוי-fl-10291	מעמד ספרים פיס אולד טיים	1	2
₪34	72541116461	דקו-אלמנט-לאב-s-כלי-נוי-fl-10271	דקו אלמנט לאב S	1	2
₪34	72541116457	דקו-האוס-צוקלאט-1-כלי-נוי-fl-10282	דקו האוס צ'וקלאט	1	4
₪34	17947116204	ואזה-וינטאג-מולטי-גרין-m-אגרטלים-fl-10191	ואזה וינטאג' מולטי גרין M	1	1
₪34	38862114953	שייקר-קוקטייל-בלאק-כלי-בישול-fl-10571	שייקר קוקטייל בלאק	1	4
₪34	38862114958	שייקר-קוקטייל-גולד-כלי-בישול-fl-10570	שייקר קוקטייל גולד	1	4
₪37	48347115848	ואזה-סטון-ראונד-בראוןl-אגרטלים-fl-10131	ואזה סטון ראונד בראון L	1	4
₪37	56441112765	ואזה-דקו-פייס-ווייט-l-אגרטלים-fl-10183	ואזה דקו פייס ווייט L	1	3
₪37	48347115305	ואזה-סטון-בראון-אגרטלים-fl-10190	ואזה סטון בראון	1	1
₪37	56441112766	ואזה-דקו-פייס-בלאק-l-אגרטלים-fl-10182	ואזה דקו פייס בלאק L	1	4
₪37	99141112421	פסל-דיזיין-סאן-פייס-כלי-נוי-fl-10288	פסל דיזיין סאן פייס	1	2
₪39	17362114498	מזלגות-סיה-גריי-כלי-בישול-fl-10596	מזלגות סיה גריי	1	4
₪39	39641112843	ספר-surf-m-כלי-נוי-fl-10300	ספר SURF M	1	3
₪39	57248111112	ואזה-פאנקי-פיש-בלאק-אגרטלים-fl-10188	ואזה פאנקי פיש בלאק	1	3
₪39	39641112841	ספר-אסטרונאוט-m-כלי-נוי-fl-10298	ספר אסטרונאוט M	1	3
₪42	17947116205	ואזה-וינטאג-מולטי-גרין-l-1-אגרטלים-fl-10192	ואזה וינטאג' מולטי גרין L	1	1
₪44	72541116652	דקו-האוס-צוקלאט-2-כלי-נוי-fl-10280	דקו האוס צ'וקלאט	1	2
₪44	72541116654	דקו-האוס-טופי-2-כלי-נוי-fl-10285	דקו האוס טופי	1	3
₪47	60041115943	ואזה-דקו-סמוק-אורנג-3-כלי-נוי-fl-10292	ואזה דקו סמוק אורנג'	1	2
₪48	71762115782	כף-הגשה-אורגניק-ראונד-כלי-בישול-fl-10484	כף הגשה אורגניק ראונד	1	4
₪48	71762115783	כף-הגשה-אורגניק-כלי-בישול-fl-10485	כף הגשה אורגניק	1	3
₪49	72541116459	דקו-האוס-טופי-כלי-נוי-fl-10283	דקו האוס טופי	1	4
₪49	62062116701	קערה-בלנד-בז-ווייט-כלי-בישול-fl-10567	קערה בלנד בז' ווייט L	1	4
₪49	71741114860	בול-אורגניק-ווד-s-כלי-נוי-fl-10256	בול אורגניק ווד S	1	4
₪49	60047115927	ואזה-ארטי-סמוק-אמבר-m-אגרטלים-fl-10195	ואזה ארטי סמוק אמבר M	1	1
₪49	60047115925	ואזה-ארטי-סמוק-אורנג-m-אגרטלים-fl-10196	ואזה ארטי סמוק אורנג' M	1	1
₪49	60263116455	מעמד-לסירים-סטורמי-גולד-s-כלי-בישול-fl-10548	מעמד לסירים סטורמי גולד S	1	3
₪49	60047115933	ואזה-דקו-סמוק-אורנג-4-אגרטלים-fl-10198	ואזה דקו סמוק אורנג'	1	1
₪49	72541116460	דקו-אלמנט-לאב-m-כלי-נוי-fl-10272	דקו אלמנט לאב M	1	2
₪49	36441115097	קערה-פטיסרי-מאסטרד-כלי-בישול-fl-10594	קערה פטיסרי מאסטרד	1	3
₪49	35047116795	ואזה-קוסמיק-בראון-1-אגרטלים-fl-10069	ואזה קוסמיק בראון	1	4
₪54	60047114841	בקבוק-ארטי-אמבר-s-כלי-נוי-fl-10293	בקבוק ארטי אמבר S	1	4
₪54	60047115939	ואזה-דקו-סמוק-אורנג-5-אגרטלים-fl-10194	ואזה דקו סמוק אורנג'	1	1
₪56	7925245247625	בול-סימפלי-בלו-s-רביעיה-כלי-בישול-fl-10551	בול סימפלי בלו S-רביעיה	1	3
₪56	7925218705545	בול-סימפלי-ווייט-s-רביעיה-כלי-בישול-fl-10550	בול סימפלי ווייט S- רביעיה	1	3
